"Title","Country","Longitude","Latitude"
"Crash","Germany",10.5,51.5
"A Good Woman","UK",-2.69531,54.75844
"A Good Woman","Italy",12.83333,42.83333
"A Good Woman","Spain",-4,40
"A Good Woman","Luxembourg",6.16667,49.75
"Yes","UK",-2.69531,54.75844
"Innocent Voices","Mexico",-102,23
"Innocent Voices","Puerto Rico",-66.49989,18.24829
"Haven","UK",-2.69531,54.75844
"Haven","Germany",10.5,51.5
"Haven","Spain",-4,40
"Why We Fight","France",2,46
"Why We Fight","UK",-2.69531,54.75844
"Why We Fight","Canada",-113.64258,60.10867
"Why We Fight","Denmark",10,56
"White Noise","UK",-2.69531,54.75844
"White Noise","Canada",-113.64258,60.10867
"Coach Carter","Germany",10.5,51.5
"Elektra","Canada",-113.64258,60.10867
"Assault on Precinct 13","France",2,46
"Are We There Yet?","Canada",-113.64258,60.10867
"Alone in the Dark","Canada",-113.64258,60.10867
"Alone in the Dark","Germany",10.5,51.5
"Hide and Seek","Germany",10.5,51.5
"Boogeyman","New Zealand",174,-42
"Boogeyman","Germany",10.5,51.5
"Constantine","Germany",10.5,51.5
"Son of the Mask","Germany",10.5,51.5
"The Jacket","Germany",10.5,51.5
"The Pacifier","Canada",-113.64258,60.10867
"Hostage","Germany",10.5,51.5
"Ice Princess","Canada",-113.64258,60.10867
"Miss Congeniality 2: Armed and Fabulous","Australia",135,-25
"The Upside of Anger","Germany",10.5,51.5
"The Upside of Anger","UK",-2.69531,54.75844
"Fever Pitch","Germany",10.5,51.5
"Sahara","UK",-2.69531,54.75844
"Sahara","Spain",-4,40
"Sahara","Germany",10.5,51.5
"King's Ransom","Canada",-113.64258,60.10867
"The Interpreter","UK",-2.69531,54.75844
"The Interpreter","France",2,46
"The Interpreter","Germany",10.5,51.5
"Factotum","Norway",10,62
"Factotum","Germany",10.5,51.5
"Factotum","France",2,46
"Factotum","Italy",12.83333,42.83333
"Kingdom of Heaven","UK",-2.69531,54.75844
"Kingdom of Heaven","Spain",-4,40
"Kingdom of Heaven","Germany",10.5,51.5
"Kingdom of Heaven","Morocco",-5,32
"House of Wax","Australia",135,-25
"Unleashed","France",2,46
"Unleashed","UK",-2.69531,54.75844
"Monster-in-Law","Germany",10.5,51.5
"The Sisterhood of the Traveling Pants","Greece",22,39
"The Sisterhood of the Traveling Pants","Mexico",-102,23
"Lords of Dogtown","Germany",10.5,51.5
"The Honeymooners","Germany",10.5,51.5
"Batman Begins","UK",-2.69531,54.75844
"Rize","UK",-2.69531,54.75844
"Land of the Dead","Canada",-113.64258,60.10867
"Land of the Dead","France",2,46
"Fantastic Four","Germany",10.5,51.5
"Charlie and the Chocolate Factory","UK",-2.69531,54.75844
"Charlie and the Chocolate Factory","Australia",135,-25
"The Devil's Rejects","Germany",10.5,51.5
"March of the Penguins","France",2,46
"The Wendell Baker Story","Germany",10.5,51.5
"The Dukes of Hazzard","Australia",135,-25
"Me and You and Everyone We Know","UK",-2.69531,54.75844
"The Skeleton Key","Germany",10.5,51.5
"The Great Raid","Australia",135,-25
"Valiant","UK",-2.69531,54.75844
"Don't Come Knocking","France",2,46
"Don't Come Knocking","Germany",10.5,51.5
"Broken Flowers","France",2,46
"Undiscovered","Germany",10.5,51.5
"The Cave","Germany",10.5,51.5
"The Constant Gardener","UK",-2.69531,54.75844
"The Constant Gardener","Germany",10.5,51.5
"The Constant Gardener","China",105,35
"A Sound of Thunder","UK",-2.69531,54.75844
"A Sound of Thunder","Germany",10.5,51.5
"A Sound of Thunder","Czech Republic",15,49.75
"Green Street Hooligans","UK",-2.69531,54.75844
"The Man","Germany",10.5,51.5
"Lord of War","Germany",10.5,51.5
"Lord of War","France",2,46
"An Unfinished Life","Germany",10.5,51.5
"Corpse Bride","UK",-2.69531,54.75844
"A History of Violence","Germany",10.5,51.5
"A History of Violence","Canada",-113.64258,60.10867
"The Greatest Game Ever Played","Canada",-113.64258,60.10867
"The Curse of the Were-Rabbit","UK",-2.69531,54.75844
"In Her Shoes","Germany",10.5,51.5
"In Her Shoes","UK",-2.69531,54.75844
"Doom","UK",-2.69531,54.75844
"Doom","Czech Republic",15,49.75
"Doom","Germany",10.5,51.5
"El vacil�n: The Movie","Dominican Republic",-70.66667,19
"Saw II","Canada",-113.64258,60.10867
"The Weather Man","Germany",10.5,51.5
"Jarhead","Germany",10.5,51.5
"Good Night, and Good Luck.","France",2,46
"Good Night, and Good Luck.","UK",-2.69531,54.75844
"Good Night, and Good Luck.","Japan",139.75309,35.68536
"Get Rich or Die Tryin'","Canada",-113.64258,60.10867
"Derailed","UK",-2.69531,54.75844
"Walk the Line","Germany",10.5,51.5
"Harry Potter and the Goblet of Fire","UK",-2.69531,54.75844
"Bee Season","Germany",10.5,51.5
"Just Friends","Germany",10.5,51.5
"Just Friends","Canada",-113.64258,60.10867
"Pride & Prejudice","France",2,46
"Pride & Prejudice","UK",-2.69531,54.75844
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","UK",-2.69531,54.75844
"Syriana","United Arab Emirates",54,24
"King Kong","New Zealand",174,-42
"King Kong","Germany",10.5,51.5
